year,prem_current_2023,prem_demo_current_2023,prem_current_2024,prem_demo_current_2024,pchange_prem_current_2023,pchange_prem_demo_current_2023,pchange_prem_current_2024,pchange_prem_demo_current_2024
1988,966.02521,1060.5349,966.02521,1053.2976,.18397318,.1851947,.18397318,.18519488
1989,1108.5459,1228.0878,1108.5459,1219.7069,.1475331,.15798901,.1475331,.15798888
1990,1278.11,1403.1378,1278.11,1393.5624,.15296082,.14253871,.15296082,.14253873
1991,1402.566,1530.63,1402.566,1520.1846,.097375073,.0908622,.097375073,.090862237
1992,1519.13,1661.9679,1519.13,1650.6261,.08310765,.085806429,.08310765,.085806377
1993,1621.0077,1771.0022,1621.0077,1758.9163,.067063175,.065605544,.067063175,.065605506
1994,1673.8505,1818.192,1673.8505,1805.7841,.032598719,.026645828,.032598719,.026645837
1995,1728.681,1870.3021,1728.681,1857.5387,.032757148,.028660398,.032757148,.02866048
1996,1794.7974,1935.9238,1794.7974,1922.7126,.038246695,.035086151,.038246695,.035086188
1997,1864.2122,2003.099,1864.2122,1989.4293,.038675562,.034699284,.038675562,.034699243
1998,1957.2214,2098.5137,1957.2214,2084.1929,.049892001,.047633529,.049892001,.047633532
1999,2095.5588,2240.9771,2095.5588,2225.6838,.070680507,.067887753,.070680507,.067887656
2000,2251.0149,2396.592,2251.0149,2380.2368,.074183576,.069440685,.074183576,.06944067
2001,2469.377,2608.4292,2469.377,2590.6284,.097006045,.088390999,.097006045,.088391036
2002,2749.208,2887.8538,2749.208,2868.1462,.11332051,.10712369,.11332051,.10712375
2003,3047.4666,3172.4155,3047.4666,3150.7661,.10848889,.09853746,.10848889,.098537467
2004,3253.3477,3355.7305,3253.3477,3332.8301,.067558117,.057784025,.067558117,.057784032
2005,3475.2,3569.7346,3475.2,3545.374,.068192005,.063772745,.068192005,.063772812
2006,3640.3184,3712.8672,3640.3184,3687.5293,.047513355,.040096138,.047513355,.040095989
2007,3854.7278,3917.3066,3854.7278,3890.5737,.058898538,.055062421,.058898538,.055062458
2008,3994.1428,4025.0698,3994.1428,3997.6016,.036167286,.027509509,.036167286,.027509524
2009,4250.8232,4252.8774,4250.8232,4223.8545,.064264208,.056597184,.064264208,.056597169
2010,4449.2754,4437.6958,4449.2754,4407.4111,.04668558,.043457251,.04668558,.043457139
2011,4632.9043,4613.2148,4632.9043,4581.7329,.041271642,.039551843,.041271642,.039551966
2012,4705.3965,4691.1035,4705.3965,4659.0898,.015647246,.016883817,.015647246,.016883772
2013,4738.207,4769.0698,4738.207,4736.5239,.0069729611,.016620036,.0069729611,.016620003
2014,4825.6045,4842.7734,4825.6045,4809.7246,.018445261,.015454505,.018445261,.015454516
2015,4967.3301,4988.4009,4967.3301,4954.3589,.0293695,.030071083,.0293695,.030071218
2016,5205.2578,5232.0254,5205.2578,5196.3208,.047898516,.048838198,.047898516,.048838187
2017,5494.6704,5524.5801,5494.6704,5486.8784,.055600051,.055916145,.055600051,.055916026
2018,5742.2739,5738.876,5742.2739,5699.7114,.045062486,.038789537,.045062486,.038789451
2019,5901.3701,5910.7144,5901.3701,5870.3779,.027706131,.029942863,.027706131,.029943008
2020,6123.4453,6128.8359,6123.4453,6087.0112,.037631124,.036902744,.037631124,.036902785
2021,6345.5205,6346.9575,6345.5205,6303.6445,.036266379,.035589397,.036266379,.035589438
2022,6676.2544,6702.8389,6676.2544,6657.0972,.052120846,.056071173,.052120846,.056071155
2023,7330.501,7330.0488,7330.501,7280.0259,.097996056,.093573779,.097996056,.093573622
2024,7755.5732,7717.5029,7755.1421,7664.5039,.057986796,.052858327,.057927981,.052812729
2025,,,8256.9004,8098.9893,,,.064700082,.056687996
