year,prem_2022,prem_demo_2022,pchange_prem_2022,pchange_prem_demo_2022
1987,809.4451891044954,884.1447918605777,,
1988,958.449850844092,1047.980474130659,.18408246,.18530414
1989,1102.400855652241,1216.361202608505,.15019149,.16067162
1990,1270.236250027986,1388.877222707323,.15224534,.14182959
1991,1393.444460778027,1514.550913605959,.096996292,.090485819
1992,1510.538840205841,1645.913026801229,.084032327,.086733378
1993,1613.27846632885,1755.458749560044,.068015218,.0665562
1994,1668.983454682915,1805.603467192073,.03452906,.028565021
1995,1727.121569746587,1861.088725554834,.034834448,.030729482
1996,1795.345044204173,1928.715059875991,.039501257,.036336973
1997,1866.199912351979,1997.158467370846,.039465878,.035486531
1998,1955.861131107078,2088.608898833088,.048044808,.045790274
1999,2092.518571110462,2228.71300862943,.069870725,.06708011
2000,2248.122369673934,2383.872174534703,.074361965,.069618277
2001,2469.377028295146,2597.923254577549,.098417535,.089791343
2002,2749.20807643731,2876.222425884751,.11332051,.10712371
2003,3047.466650097656,3159.638102672702,.1084889,.098537467
2004,3253.347534822854,3342.214800489846,.067558043,.057784054
2005,3475.199975846354,3555.35690985713,.06819205,.063772716
2006,3640.318311893883,3697.912832757054,.047513332,.040096093
2007,3854.727697703368,3901.528931112606,.058898527,.055062439
2008,3994.142763917675,4008.858048866105,.036167294,.027509501
2009,4250.823346268358,4235.748346116567,.064264245,.05659724
2010,4449.275345215477,4419.822011567198,.046685543,.043457177
2011,4632.904237534087,4594.634277653505,.041271642,.03955188
2012,4705.396502320551,4672.20939939916,.015647262,.016883852
2013,4737.103011278518,4748.755057534318,.0067383288,.016383182
2014,4826.160396605634,4823.823869483836,.018799968,.015808104
2015,4967.989572433883,4969.27534143496,.029473204,.030174807
2016,5214.308299819824,5220.335084612597,.04958117,.050522406
2017,5506.82040764204,5514.836326293441,.056097969,.056414243
2018,5763.010422472777,5736.756474136877,.046522312,.040240567
2019,5915.655839794062,5901.522899795674,.026487097,.028721182
2020,6063.547237992667,6049.060974489054,.025,.025
2021,6275.771392225949,6260.778109497552,.035,.035
2022,6401.28681726498,6385.993668888717,.02,.02
