year,step,pchange_prem,prem
1987,b2024,,809.44519
1987,b2025,,815.91815
1987,bls_2024,,
1987,demo_b2024,,884.14478
1987,demo_b2024_step1,,894.81915
1987,demo_b2024_step2,,894.81915
1987,demo_b2024_step3,,894.81915
1987,demo_b2024_step4,,894.81915
1987,demo_b2025,,894.81915
1987,demo_current_2022,,
1987,demo_current_2023,,
1987,kff_family_2024,,
1987,kff_single_2024,,
1988,b2024,.18408246,958.44983
1988,b2025,.18397318,966.02521
1988,bls_2024,,
1988,demo_b2024,.18530414,1047.9805
1988,demo_b2024_step1,.1851947,1060.5349
1988,demo_b2024_step2,.1851947,1060.5349
1988,demo_b2024_step3,.1851947,1060.5349
1988,demo_b2024_step4,.1851947,1060.5349
1988,demo_b2025,.1851947,1060.5349
1988,demo_current_2022,.18530414,
1988,demo_current_2023,.1851947,
1988,kff_family_2024,,
1988,kff_single_2024,,
1989,b2024,.15019149,1102.4009
1989,b2025,.14753309,1108.5459
1989,bls_2024,,
1989,demo_b2024,.16067162,1216.3612
1989,demo_b2024_step1,.15798901,1228.0878
1989,demo_b2024_step2,.15798901,1228.0878
1989,demo_b2024_step3,.15798901,1228.0878
1989,demo_b2024_step4,.15798901,1228.0878
1989,demo_b2025,.15798901,1228.0878
1989,demo_current_2022,.16067162,
1989,demo_current_2023,.15798901,
1989,kff_family_2024,,
1989,kff_single_2024,,
1990,b2024,.15224534,1270.2362
1990,b2025,.15296081,1278.11
1990,bls_2024,,
1990,demo_b2024,.14182959,1388.8772
1990,demo_b2024_step1,.14253871,1403.1378
1990,demo_b2024_step2,.14253871,1403.1378
1990,demo_b2024_step3,.14253871,1403.1378
1990,demo_b2024_step4,.14253871,1403.1378
1990,demo_b2025,.14253871,1403.1378
1990,demo_current_2022,.14182959,
1990,demo_current_2023,.14253871,
1990,kff_family_2024,,
1990,kff_single_2024,,
1991,b2024,.096996292,1393.4445
1991,b2025,.097375073,1402.566
1991,bls_2024,,
1991,demo_b2024,.090485819,1514.5509
1991,demo_b2024_step1,.0908622,1530.63
1991,demo_b2024_step2,.0908622,1530.63
1991,demo_b2024_step3,.0908622,1530.63
1991,demo_b2024_step4,.0908622,1530.63
1991,demo_b2025,.0908622,1530.63
1991,demo_current_2022,.090485819,
1991,demo_current_2023,.0908622,
1991,kff_family_2024,,
1991,kff_single_2024,,
1992,b2024,.084032327,1510.5388
1992,b2025,.08310765,1519.13
1992,bls_2024,,
1992,demo_b2024,.086733378,1645.9131
1992,demo_b2024_step1,.085806429,1661.9679
1992,demo_b2024_step2,.085806429,1661.9679
1992,demo_b2024_step3,.085806429,1661.9679
1992,demo_b2024_step4,.085806429,1661.9679
1992,demo_b2025,.085806429,1661.9679
1992,demo_current_2022,.086733378,
1992,demo_current_2023,.085806429,
1992,kff_family_2024,,
1992,kff_single_2024,,
1993,b2024,.068015218,1613.2784
1993,b2025,.067063175,1621.0077
1993,bls_2024,,
1993,demo_b2024,.0665562,1755.4587
1993,demo_b2024_step1,.065605544,1771.0022
1993,demo_b2024_step2,.065605544,1771.0022
1993,demo_b2024_step3,.065605544,1771.0022
1993,demo_b2024_step4,.065605544,1771.0022
1993,demo_b2025,.065605544,1771.0022
1993,demo_current_2022,.0665562,
1993,demo_current_2023,.065605544,
1993,kff_family_2024,,
1993,kff_single_2024,,
1994,b2024,.03452906,1668.9834
1994,b2025,.032598719,1673.8505
1994,bls_2024,,
1994,demo_b2024,.028565021,1805.6035
1994,demo_b2024_step1,.026645828,1818.192
1994,demo_b2024_step2,.026645828,1818.192
1994,demo_b2024_step3,.026645828,1818.192
1994,demo_b2024_step4,.026645828,1818.192
1994,demo_b2025,.026645828,1818.192
1994,demo_current_2022,.028565021,
1994,demo_current_2023,.026645828,
1994,kff_family_2024,,
1994,kff_single_2024,,
1995,b2024,.034834448,1727.1216
1995,b2025,.032757148,1728.681
1995,bls_2024,,
1995,demo_b2024,.030729482,1861.0887
1995,demo_b2024_step1,.028660398,1870.3021
1995,demo_b2024_step2,.028660398,1870.3021
1995,demo_b2024_step3,.028660398,1870.3021
1995,demo_b2024_step4,.028660398,1870.3021
1995,demo_b2025,.028660398,1870.3021
1995,demo_current_2022,.030729482,
1995,demo_current_2023,.028660398,
1995,kff_family_2024,,
1995,kff_single_2024,,
1996,b2024,.039501257,1795.3451
1996,b2025,.038246691,1794.7974
1996,bls_2024,,
1996,demo_b2024,.036336973,1928.7151
1996,demo_b2024_step1,.035086151,1935.9238
1996,demo_b2024_step2,.035086151,1935.9238
1996,demo_b2024_step3,.035086151,1935.9238
1996,demo_b2024_step4,.035086151,1935.9238
1996,demo_b2025,.035086151,1935.9238
1996,demo_current_2022,.036336973,
1996,demo_current_2023,.035086151,
1996,kff_family_2024,,
1996,kff_single_2024,,
1997,b2024,.039465878,1866.2
1997,b2025,.038675562,1864.2122
1997,bls_2024,,
1997,demo_b2024,.035486531,1997.1584
1997,demo_b2024_step1,.034699284,2003.099
1997,demo_b2024_step2,.034699284,2003.099
1997,demo_b2024_step3,.034699284,2003.099
1997,demo_b2024_step4,.034699284,2003.099
1997,demo_b2025,.034699284,2003.099
1997,demo_current_2022,.035486531,
1997,demo_current_2023,.034699284,
1997,kff_family_2024,,
1997,kff_single_2024,,
1998,b2024,.048044808,1955.8611
1998,b2025,.049892005,1957.2214
1998,bls_2024,,
1998,demo_b2024,.045790274,2088.6089
1998,demo_b2024_step1,.047633529,2098.5137
1998,demo_b2024_step2,.047633529,2098.5137
1998,demo_b2024_step3,.047633529,2098.5137
1998,demo_b2024_step4,.047633529,2098.5137
1998,demo_b2025,.047633529,2098.5137
1998,demo_current_2022,.045790274,
1998,demo_current_2023,.047633529,
1998,kff_family_2024,,
1998,kff_single_2024,,
1999,b2024,.069870725,2092.5186
1999,b2025,.070680514,2095.5588
1999,bls_2024,,
1999,demo_b2024,.06708011,2228.7129
1999,demo_b2024_step1,.067887753,2240.9771
1999,demo_b2024_step2,.067887753,2240.9771
1999,demo_b2024_step3,.067887753,2240.9771
1999,demo_b2024_step4,.067887753,2240.9771
1999,demo_b2025,.067887753,2240.9771
1999,demo_current_2022,.06708011,
1999,demo_current_2023,.067887753,
1999,kff_family_2024,.037960954,
1999,kff_single_2024,.080952384,
2000,b2024,.074361965,2248.1223
2000,b2025,.074183576,2251.0149
2000,bls_2024,,
2000,demo_b2024,.069618277,2383.8721
2000,demo_b2024_step1,.069440685,2396.592
2000,demo_b2024_step2,.069440685,2396.592
2000,demo_b2024_step3,.069440685,2396.592
2000,demo_b2024_step4,.069440685,2396.592
2000,demo_b2025,.069440685,2396.592
2000,demo_current_2022,.069618277,
2000,demo_current_2023,.069440685,
2000,kff_family_2024,.10553814,
2000,kff_single_2024,.067841411,
2001,b2024,.098417535,2469.377
2001,b2025,.097006045,2469.377
2001,bls_2024,,
2001,demo_b2024,.089791343,2597.9233
2001,demo_b2024_step1,.088390999,2608.4292
2001,demo_b2024_step2,.088390999,2608.4292
2001,demo_b2024_step3,.088390999,2608.4292
2001,demo_b2024_step4,.088390999,2608.4292
2001,demo_b2025,.088390999,2608.4292
2001,demo_current_2022,.089791343,
2001,demo_current_2023,.088390999,
2001,kff_family_2024,.11153119,
2001,kff_single_2024,.094059408,
2002,b2024,.11332051,2749.208
2002,b2025,.11332051,2749.208
2002,bls_2024,,
2002,demo_b2024,.10712371,2876.2224
2002,demo_b2024_step1,.10712369,2887.8538
2002,demo_b2024_step2,.10712369,2887.8538
2002,demo_b2024_step3,.10712369,2887.8538
2002,demo_b2024_step4,.10712369,2887.8538
2002,demo_b2025,.10712369,2887.8538
2002,demo_current_2022,.10712371,
2002,demo_current_2023,.10712369,
2002,kff_family_2024,.12726758,
2002,kff_single_2024,.15384616,
2003,b2024,.1084889,3047.4666
2003,b2025,.10848889,3047.4666
2003,bls_2024,,
2003,demo_b2024,.098537467,3159.6382
2003,demo_b2024_step1,.09853746,3172.4155
2003,demo_b2024_step2,.09853746,3172.4155
2003,demo_b2024_step3,.09853746,3172.4155
2003,demo_b2024_step4,.098537453,3172.4155
2003,demo_b2025,.098537453,3172.4155
2003,demo_current_2022,.098537467,
2003,demo_current_2023,.09853746,
2003,kff_family_2024,.14005531,
2003,kff_single_2024,.10555556,
2004,b2024,.067558043,3253.3477
2004,b2025,.067558117,3253.3477
2004,bls_2024,.064142197,
2004,demo_b2024,.057784054,3342.2148
2004,demo_b2024_step1,.057784025,3355.7305
2004,demo_b2024_step2,.057784025,3355.7305
2004,demo_b2024_step3,.057784025,3355.7305
2004,demo_b2024_step4,.057784025,3355.7305
2004,demo_b2025,.057784025,3355.7305
2004,demo_current_2022,.057784054,
2004,demo_current_2023,.057784025,
2004,kff_family_2024,.097265102,
2004,kff_single_2024,.092225842,
2005,b2024,.06819205,3475.2
2005,b2025,.068192005,3475.2
2005,bls_2024,.04567901,
2005,demo_b2024,.063772716,3555.3569
