year,yamamoto_index_2025,real_yamamoto_2025
1983,.9287906088866293,.91808999
1984,.9287906088866293,.91808999
1985,.9287906088866293,.91808999
1986,.9287906088866293,.91808999
1987,.9287906088866293,.91808999
1988,.92783332336694,.9171437
1989,.9194555524736643,.90886247
1990,.9278428019024432,.91715306
1991,.9333822960034013,.92262876
1992,.9310623784549534,.92033559
1993,.9323360207490623,.92159456
1994,.9377420712262392,.9269383
1995,.9414767217822373,.93062991
1996,.9443513783626258,.93347144
1997,.9479805049486458,.93705875
1998,.9500241582281888,.93907887
1999,.9525086658541113,.94153476
2000,.9567329816054553,.94571042
2001,.9643059389200062,.95319611
2002,.9697033872362226,.95853138
2003,.9784877086058259,.96721452
2004,.9875290060881525,.97615165
2005,.9916315695736557,.98020691
2006,.9987031940836459,.9871971
2007,1.002334382385016,.99078643
2008,1.010780038544908,.99913478
2009,1.018114580307156,1.0063848
2010,1.021264591952786,1.0094986
2011,1.022954126354307,1.0111686
2012,1.021710130386055,1.009939
2013,1.011966797523201,1.0003079
2014,1.014932725578547,1.0032396
2015,1.014241483062506,1.0025563
2016,1.013332786271349,1.0016581
2017,1.013029417488724,1.0013583
2018,1.019146868027747,1.0074053
2019,1.016933487029746,1.0052173
2020,1.018769031157717,1.0070318
2021,1.018313040956855,1.0065809
2022,1.014503993792459,1.0028158
2023,1.018606609199196,1.0068712
2024,1.011655331822112,1
