year,yamamoto_index_2024,real_yamamoto_2024
1983,.9287906088866293,.91182464
1984,.9287906088866293,.91182464
1985,.9287906088866293,.91182464
1986,.9287906088866293,.91182464
1987,.9287906088866293,.91182464
1988,.92783332336694,.91088486
1989,.9194555524736643,.90266013
1990,.9278428019024432,.91089416
1991,.9333822960034013,.91633248
1992,.9310623784549534,.91405493
1993,.9323360207490623,.91530532
1994,.9377420712262392,.92061257
1995,.9414767217822373,.92427903
1996,.9443513783626258,.92710119
1997,.9479805049486458,.930664
1998,.9500241582281888,.93267035
1999,.9525086658541113,.93510944
2000,.9567329816054553,.93925661
2001,.9643059389200062,.94669122
2002,.9697033872362226,.95199007
2003,.9784877086058259,.96061397
2004,.9875290060881525,.96949011
2005,.9916315695736557,.97351772
2006,.9987031940836459,.98046017
2007,1.002334382385016,.984025
2008,1.010780038544908,.99231642
2009,1.018114580307156,.99951696
2010,1.021264591952786,1.0026094
2011,1.022954126354307,1.0042681
2012,1.021710130386055,1.0030469
2013,1.011966797523201,.99348146
2014,1.014932725578547,.9963932
2015,1.014241483062506,.9957146
2016,1.013332786271349,.9948225
2017,1.013029417488724,.99452466
2018,1.019146868027747,1.0005304
2019,1.016933487029746,.99835742
2020,1.018769031157717,1.0001595
2021,1.018313040956855,.99971181
2022,1.014503993792459,.99597234
2023,1.018606609199196,1
