year,lndiff_prem_bls
2004,.051387452
2005,.043751508
2006,.039451193
2007,.029998196
2008,.041460767
2009,.047877505
2010,.049867883
2011,.039514676
2012,.025067275
2013,.01615544
2014,.012739026
2015,.0069379024
2016,.022375079
2017,.039173432
2018,.054067221
2019,.023790887
2020,.026970351
2021,.011808662
2022,.021751693
2023,.028201897
