year,yamamoto_index_2023,real_yamamoto_2023
1983,.9287906088866293,.91551203
1984,.9287906088866293,.91551203
1985,.9287906088866293,.91551203
1986,.9287906088866293,.91551203
1987,.9287906088866293,.91551203
1988,.92783332336694,.91456842
1989,.9194555524736643,.90631044
1990,.9278428019024432,.91457778
1991,.9333822960034013,.92003804
1992,.9310623784549534,.91775131
1993,.9323360207490623,.91900676
1994,.9377420712262392,.92433554
1995,.9414767217822373,.92801678
1996,.9443513783626258,.93085033
1997,.9479805049486458,.93442756
1998,.9500241582281888,.93644202
1999,.9525086658541113,.93889099
2000,.9567329816054553,.94305491
2001,.9643059389200062,.95051962
2002,.9697033872362226,.95583987
2003,.9784877086058259,.96449864
2004,.9875290060881525,.97341067
2005,.9916315695736557,.9774546
2006,.9987031940836459,.98442513
2007,1.002334382385016,.98800439
2008,1.010780038544908,.99632931
2009,1.018114580307156,1.003559
2010,1.021264591952786,1.0066639
2011,1.022954126354307,1.0083293
2012,1.021710130386055,1.0071031
2013,1.011966797523201,.99749905
2014,1.014932725578547,1.0004226
2015,1.014241483062506,.99974126
2016,1.013332786271349,.99884552
2017,1.013029417488724,.99854648
2018,1.019146868027747,1.0045764
2019,1.016933487029746,1.0023948
2020,1.018769031157717,1.004204
2021,1.018313040956855,1.0037546
2022,1.014503993792459,1
