year,age,female_popwgt,male_popwgt
1988,0,.0080504808574915,.0082265418022871
1988,1,.0080112442374229,.0085293231531978
1988,2,.0082236491143703,.0086400089785457
1988,3,.0080260504037142,.008245843462646
1988,4,.0081226918846369,.008104307577014
1988,5,.0081990240141749,.0085904682055116
1988,6,.0080358516424894,.0085967946797609
1988,7,.0080752111971378,.0083371549844742
1988,8,.0077669522725046,.0079835122451186
1988,9,.0079356748610735,.0080555053427815
1988,10,.0079005165025592,.0083821322768927
1988,11,.0074066068045795,.0080785239115357
1988,12,.0074628284201026,.007845095358789
1988,13,.007534340955317,.007278076838702
1988,14,.0074600451625884,.0077269840985537
1988,15,.0072437757626176,.0077066505327821
1988,16,.0078728897497058,.0083988280966878
1988,17,.0080322856083512,.0089238611981273
1988,18,.0079457964748144,.0083796847611666
1988,19,.0078078350052238,.0077666025608778
1988,20,.0077663320116699,.0071349493227899
1988,21,.0080220820382237,.0075239366851747
1988,22,.0074152210727334,.0066201253794134
1988,23,.0079579064622521,.0075172106735408
1988,24,.0085563762113452,.0081005552783608
1988,25,.0092119947075844,.0089314747601748
1988,26,.0093617541715503,.009123083204031
1988,27,.0102858254685998,.0096793146803975
1988,28,.0101785222068429,.0096179684624076
1988,29,.0106894671916962,.0102945491671562
1988,30,.0110507821664214,.0106646083295345
1988,31,.0109820552170277,.0108640817925334
1988,32,.0100765964016318,.0094943307340145
1988,33,.0105420602485538,.0094729978591204
1988,34,.0099574364721775,.0095493486151099
1988,35,.0098899826407433,.0102377161383629
1988,36,.0095549682155252,.0094825960695744
1988,37,.0094471080228686,.0092376545071602
1988,38,.0093380743637681,.009168179705739
1988,39,.0095485774800181,.0082923285663128
1988,40,.0097277425229549,.0097229313105345
1988,41,.0091661894693971,.0085366759449244
1988,42,.0072515555657446,.0074019581079483
1988,43,.0077502895146608,.007061202544719
1988,44,.007024098187685,.0066589429043233
1988,45,.0072028827853501,.0072637689299881
1988,46,.0073010218329728,.0065267803147435
1988,47,.0064509836956859,.0061248508282006
1988,48,.0066511603072286,.0061662341468036
1988,49,.005621500313282,.0059328754432499
1988,50,.0064054862596095,.0057815718464553
1988,51,.005404909607023,.0055385087616742
1988,52,.0057340790517628,.0059320693835616
1988,53,.0052723712287843,.0054098321124911
1988,54,.0052243680693209,.0051847063004971
1988,55,.0053825043141842,.0048075271770358
1988,56,.0053814970888197,.0055907135829329
1988,57,.0058436528779566,.0049157231114805
1988,58,.005848010070622,.0058675729669631
1988,59,.0057353531010449,.0051024504937232
1988,60,.0059311739169061,.005419512744993
1988,61,.0055625992827117,.004893344361335
1988,62,.0051484955474734,.004959492944181
1988,63,.0058339494280517,.0048895324580371
1988,64,.0051799258217216,.0045256363227963
1989,0,.0080293640494347,.0082622040063143
1989,1,.0081491200253367,.0087015964090824
1989,2,.007722441572696,.0082399426028132
1989,3,.0081948963925242,.0085162064060569
1989,4,.0079225692898035,.008386991918087
1989,5,.007997109554708,.0083560012280941
1989,6,.0081091998144984,.0088600320741534
1989,7,.0079853124916553,.0087393382564187
1989,8,.0076814410276711,.0084045184776187
1989,9,.0082752788439393,.0084980074316263
1989,10,.0078334929421544,.00782769639045
1989,11,.0078430725261569,.0085403425619006
1989,12,.0076125371269882,.0084663331508636
1989,13,.007643258664757,.0079630836844444
1989,14,.0078528504818678,.0078734811395407
1989,15,.0071900729089975,.0068814735859632
