year,prem_2023,prem_demo_2023,pchange_prem_2023,pchange_prem_demo_2023
1987,815.9181514584517,894.8191488074366,,
1988,966.0252191465172,1060.534940148529,.18397319,.18519473
1989,1108.545889309341,1228.087789837612,.14753307,.157989
1990,1278.110012784761,1403.137786022512,.15296085,.14253867
1991,1402.566029901665,1530.630044871693,.097375043,.090862252
1992,1519.129997009338,1661.967943733278,.08310765,.085806429
1993,1621.007689380355,1771.002154989931,.067063183,.065605484
1994,1673.850433351007,1818.192020050004,.0325987,.026645854
1995,1728.681062327373,1870.302147262462,.032757185,.028660409
1996,1794.797335189551,1935.923872116545,.038246658,.035086162
1997,1864.212123305427,2003.098992984305,.038675558,.034699257
1998,1957.221416987641,2098.513599215289,.049892012,.047633495
1999,2095.558803544213,2240.977082072852,.070680499,.067887805
2000,2251.014817682898,2396.591966018269,.074183561,.069440641
2001,2469.377030730916,2608.42924798511,.09700612,.088391051
2002,2749.208088097068,2887.853769691275,.11332051,.10712367
2003,3047.466656180304,3172.415544920058,.1084889,.09853746
2004,3253.347538680777,3355.730530164352,.067558043,.05778404
2005,3475.199976253509,3569.734729002059,.06819205,.06377276
2006,3640.318307248991,3712.867144571434,.047513332,.040096093
2007,3854.72769399483,3917.306693984161,.058898527,.055062447
2008,3994.142762972436,4025.069715860401,.036167294,.027509468
2009,4250.823333380283,4252.877673625594,.064264245,.05659727
2010,4449.275328519126,4437.695777005334,.046685543,.043457188
2011,4632.904226371906,4613.214840003358,.041271642,.039551847
2012,4705.39649417406,4691.103358490098,.015647262,.016883783
2013,4738.206824097646,4769.069893378973,.006972915,.016620085
2014,4825.604364230751,4842.773377364754,.018445278,.015454478
2015,4967.330227999119,4988.400864857172,.029369557,.030071093
2016,5205.258011704396,5232.025486420575,.047898524,.048838221
2017,5494.670369689566,5524.580145503917,.055600002,.055916138
2018,5742.273897219855,5738.8757416744,.04506249,.038789481
2019,5901.369995738793,5910.714558957971,.027706115,.029942941
2020,6123.445160307883,6128.836150571129,.037631121,.036902744
2021,6345.520324876973,6346.957742184287,.036266375,.035589397
2022,6676.254400139011,6702.839063018267,.052120876,.056071166
2023,7330.501199706361,7330.048693706765,.097996086,.093573727
